Age,1981-01-01,1982-01-01,1983-01-01,1984-01-01,1985-01-01,1986-01-01,1987-01-01,1988-01-01,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01
Y_LT1,68529,66594,65110,63669,65438,66348,65484,66230,64188,63621,65741,66533,64020,62810,60234,58511,59640,57565,56213,53411,52027,51198,51783,53628,54502,55117,57040,59546,59653,59347,60365,58547,56999,56183,56001,55516,53553,52310,50772,48635
Y_1,66723,68063,66015,64796,63134,65086,66002,64784,66224,64078,63233,65512,66400,63983,62510,59955,58318,59389,57283,55832,53060,52277,51241,51954,53950,54639,55449,57261,59540,59477,57682,60583,58675,57384,56678,56584,55892,53852,52734,51062
Y_2,64065,66389,67723,65713,64249,62805,64641,65477,64930,66319,63912,63146,65506,66356,63805,62136,59673,58315,59143,57006,55668,53357,52437,51422,52171,53923,55052,55643,57219,59345,59379,57801,60750,59003,57813,57165,56790,56084,54266,52945
Y_3,59568,63810,66026,67520,65278,63935,62379,64038,65598,65076,66206,63792,63295,65575,66213,63594,61834,59510,58286,58857,56812,55907,53601,52768,51685,52318,54210,55249,55713,57049,59234,59525,58012,61001,59341,58232,57361,57065,56539,54449
Y_4,59023,59442,63633,65844,67156,65153,63646,61931,64121,65722,65011,66079,63757,63493,65564,65887,63240,61612,59386,58107,58694,57045,56062,53953,53186,51890,52556,54377,55381,55702,56926,59334,59607,58286,61341,59741,58510,57551,57404,56715
Y_5,64515,58911,59327,63560,65600,66892,64868,63255,62004,64255,65702,64944,66117,63850,63458,65501,65638,63015,61399,59175,58088,58892,57176,56304,54316,53384,52188,52680,54394,55429,55769,57021,59490,59796,58497,61695,60001,58712,57837,57581
Y_6,65573,64300,58774,59244,63454,65444,66617,64548,63368,62159,64218,65604,65015,66223,63781,63344,65395,65500,62912,61130,59103,58286,59081,57571,56657,54645,53812,52406,52713,54400,55429,55870,57136,59709,60030,58801,61895,60252,59032,57938
Y_7,67271,65387,64236,58710,59144,63277,65203,66336,64720,63533,62144,64262,65644,65177,66124,63645,63407,65311,65368,62657,61005,59287,58582,59412,57974,56935,55109,54117,52490,52713,54406,55485,55999,57299,59905,60336,59011,62094,60560,59171
Y_8,72378,66999,65167,64015,58494,59038,63152,64896,66508,64867,63495,62159,64467,65791,65210,65929,63538,63441,65259,65149,62593,61183,59513,58953,59774,58184,57352,55376,54320,52562,52686,54447,55568,56156,57571,60184,60624,59207,62408,60666
Y_9,77976,72148,66811,65132,63864,58389,58905,63007,65053,66696,64841,63294,62223,64799,65808,65121,65797,63435,63512,65231,65024,62693,61400,59772,59355,60028,58571,57639,55667,54494,52610,52774,54504,55761,56353,57846,60420,60824,59479,62547
Y_10,82869,77717,72062,66682,64990,63646,58332,58762,63156,65309,66772,64583,63146,62345,64953,65669,65101,65709,63395,63532,65249,65247,62774,61654,60151,59642,60453,58836,57896,55911,54673,52634,52908,54683,55960,56634,58057,60578,61119,59638
Y_11,83412,82520,77516,71908,66543,64759,63516,58256,58990,63310,65349,66674,64445,63096,62358,64943,65583,65038,65647,63424,63693,65498,65351,62943,62037,60313,60097,60809,59146,58136,56125,54791,52692,53049,54864,56142,56840,58240,60860,61301
Y_12,86712,83153,82323,77315,71744,66339,64520,63247,58372,59195,63329,65277,66663,64276,62929,62224,65017,65467,64952,65617,63393,63581,65312,65486,63046,62281,60673,60380,61043,59303,58327,56177,54885,52784,53191,55083,56357,57028,58512,61018
Y_13,89021,86426,82872,82096,77109,71524,66182,64294,63270,58503,59253,63142,65237,66583,64017,62625,62127,65092,65409,64971,65581,63263,63497,65416,65211,62989,62449,61050,60753,61321,59523,58352,56245,55000,52935,53398,55243,56549,57366,58637
Y_14,90698,88776,86161,82641,81871,76886,71278,65948,64324,63265,58518,58962,62996,65258,66400,63706,62341,62078,65216,65340,65007,65405,63099,63396,65011,65171,63235,62713,61301,61030,61618,59624,58402,56383,55192,53121,53600,55395,56817,57487
Y_15,90123,90423,88452,85948,82412,81597,76667,71031,65953,64380,63225,58225,58744,62888,65191,66194,63366,62112,62016,65324,65377,64666,65196,63113,63015,64773,65401,63559,62998,61601,61351,61661,59707,58564,56590,55439,53288,53761,55692,56993
Y_16,95046,89487,89861,88037,85483,82063,81368,76260,70858,65768,64105,62713,57878,58554,62668,64901,65825,62857,61670,61839,65393,65071,64255,65049,63127,63142,64928,65426,64082,63276,61972,61429,61761,59834,58760,56863,55594,53470,54052,55890
Y_17,93304,94327,88696,89271,87416,84911,81509,80620,75722,70496,65341,63674,62281,57608,58143,62267,64507,65352,62316,61398,61838,64740,64537,63845,65061,63490,64498,65211,68428,64414,63983,62137,61583,61823,60074,58981,57019,55826,53713,54249
Y_18,91049,92692,93389,87947,88367,86589,84281,80589,79867,75178,69651,64634,63121,62072,57388,57692,61746,63923,65073,62128,61130,61286,64080,64223,64151,65860,64802,65773,69004,70003,66503,64411,62712,62162,62576,60951,59765,57923,56834,54563
Y_19,89792,90580,91830,92833,87105,87766,86073,83483,79997,80045,75125,71054,66497,65233,64449,59393,59790,64072,66600,67207,63867,62831,62854,66320,67434,67781,69642,69158,67809,72532,73022,69298,67736,65888,65983,66426,64374,63584,61667,60425
Y_20,88089,89395,90201,91716,92372,86913,87485,85540,82961,80330,80353,75835,71807,67647,66178,64991,59910,60520,64927,67675,68326,65212,64074,64269,68416,69375,69835,71903,68475,70359,75298,75078,71097,69786,68431,68524,68681,66553,65838,63647
Y_21,85924,87296,88691,89786,90833,91525,86193,86335,84756,82746,80101,80104,76016,72039,67642,65905,64442,59588,60492,64906,68041,68791,66238,65232,66144,69690,68986,69132,70911,70371,72740,76241,75976,71902,71367,70098,69606,69638,67735,66446
Y_22,83708,85086,86458,87896,88592,89495,90183,84394,85056,84003,82088,79221,79618,75779,71373,66719,64873,63332,58852,59752,64539,67952,68847,66458,66358,65954,69147,69716,70035,72374,72567,73355,76744,76618,73141,72575,70694,70320,70870,68571
Y_23,80419,82347,83781,85461,86356,87005,87764,87589,82532,83850,83114,80836,78336,78643,74603,69747,64664,63017,61678,57216,58527,63472,66724,68040,66744,66347,66648,69275,70040,70576,73748,73142,73520,76858,77485,74422,72975,71115,71430,71700
Y_24,77292,79203,81138,82889,84378,85028,85438,85585,85688,81658,83048,81797,79995,77624,77484,73085,68163,62986,61433,60056,55962,57749,62607,66117,68005,67061,66963,66659,69240,70043,71227,73521,72940,73377,77246,78348,74653,72998,71583,71391
Y_25,75098,76278,78329,80504,81926,83437,83681,83452,84220,84864,81062,82364,81189,79562,76777,76403,71907,66888,61905,60310,59440,55837,57291,62311,66310,68088,68065,67667,66895,69509,70658,70927,73405,72857,74147,78055,78655,74452,73182,71106
Y_26,71809,74424,75359,77700,79713,80979,82518,81902,82393,83774,84211,80429,82038,80826,78955,75680,75326,70778,66049,60998,59787,59376,55531,57248,62499,66241,68558,68493,67901,67047,69901,70455,70758,73353,73527,74943,78483,78687,74857,73027
Y_27,71213,71219,73992,75097,77173,79160,80263,81246,81449,82131,83396,83773,80341,82089,80510,78163,74815,74525,70232,65453,60929,59910,59388,55780,57851,62901,67098,68765,68783,68278,67576,69893,70420,70921,73839,74420,75362,78594,79127,74855
Y_28,69830,70770,70460,73600,74715,76651,78360,79201,80813,81333,81923,83102,83597,80418,81799,79879,77529,74213,74070,69568,65267,61022,59848,59475,56195,58225,63715,67244,68995,69056,68651,67498,69963,70384,71408,74513,74881,75598,79100,79056
Y_29,67367,69262,70178,70288,73134,74089,75873,77310,78871,80853,80974,81585,82907,83524,80183,81299,79413,76927,73772,73643,69462,65243,61120,60232,59943,56698,59098,64311,67400,69011,69563,68559,67529,70043,70965,72193,74867,75009,75989,79160
Y_30,69188,66987,68752,69724,69964,72528,73441,74935,76978,79003,80679,80616,81564,82885,83193,79692,80829,78909,76683,73362,73489,69548,65423,61426,60787,60374,57692,59855,64920,67530,69237,69543,68641,67814,70533,71566,72571,75210,75648,76267
Y_31,69696,68837,66618,68558,69443,69529,72088,72679,74695,77074,78977,80378,80697,81772,82732,82732,79300,80493,78687,76396,73267,73481,69707,65673,61895,61234,61270,58385,60326,65245,67851,69174,69583,68824,68276,71086,71944,72799,75743,75771
Y_32,72145,69352,68326,66200,68356,69028,69089,71521,72662,74815,76967,78683,80353,80793,81664,82348,82356,79089,80261,78278,76391,73315,73530,70214,66221,62388,62053,61911,58732,60599,65690,67793,69203,69720,69258,68875,71361,72184,73301,75784
Y_33,75327,71730,68902,68049,65903,67909,68615,68532,71372,72691,74653,76797,78662,80387,80699,81474,81995,82097,78958,79878,78126,76383,73436,73912,70715,66575,63181,62536,62368,59243,61116,65521,67819,69328,70132,69755,69157,71623,72691,73408
Y_34,82045,74974,71358,68648,67868,65424,67387,68051,68391,71477,72638,74602,76909,78685,80086,80381,81300,81693,81920,78819,79964,77908,76487,73671,74446,71182,67387,63840,63107,62899,59892,60906,65463,67996,69701,70631,70047,69442,72080,72839
Y_35,63553,81653,74510,71241,68494,67560,65043,66927,68085,68572,71408,72628,74751,77005,78444,79782,80189,81180,81590,81691,78823,79747,78037,76790,73936,74809,71889,67988,64332,63483,63532,59878,60955,65631,68314,70100,70904,70265,69835,72209
Y_36,61031,63168,81315,74219,71050,68075,67195,64624,66900,68141,68418,71391,72696,74968,76989,78017,79534,80147,81186,81413,81648,78809,79887,78394,77110,74350,75463,72483,68426,64708,64101,63545,60035,61125,66079,68696,70398,71110,70584,70023
Y_37,63508,60794,62819,81071,74034,70744,67791,66763,64602,66990,68152,68422,71398,72925,74959,76691,77667,79241,80113,81116,81478,81599,78997,80140,78839,77464,74742,75842,72917,68824,65333,64117,63609,60145,61363,66397,68961,70470,71428,70666
Y_38,62713,63214,60540,62594,80898,73663,70414,67479,66745,64642,66876,68113,68527,71512,72998,74798,76494,77412,79041,80009,81265,81387,81858,79338,80363,79209,77969,75212,76232,73386,69274,65226,64203,63706,60428,61788,66716,69208,70962,71648
Y_39,59363,62465,62905,60375,62476,80508,73376,70002,67406,66781,64516,66898,68249,68661,71505,72844,74678,76337,77156,78829,80018,81160,81563,82156,79787,80658,79717,78349,75614,76514,73861,69223,65308,64350,63953,60772,62074,66944,69713,71120
Y_40,56522,59075,62217,62783,60304,62230,80203,73009,69976,67413,66711,64591,67004,68460,68723,71347,72763,74700,76259,76948,78712,80118,81345,81820,82514,79983,81013,80045,78540,75763,76830,73720,69308,65320,64459,64126,60895,62120,67127,69697
Y_41,59017,56276,58759,61966,62631,60022,62010,79821,73019,70026,67363,66687,64644,67031,68406,68588,71215,72751,74683,76061,76729,78792,80169,81579,82161,82775,80258,81116,80220,78685,76006,76712,73718,69361,65347,64558,64175,60952,62229,67069
Y_42,59183,58694,56033,58548,61811,62381,59806,61726,79858,73089,69947,67366,66755,64757,67006,68298,68443,71165,72698,74578,76084,76673,78682,80313,81863,82269,83089,80590,81130,80330,78902,75830,76686,73776,69421,65486,64675,64225,61101,62260
Y_43,59298,58948,58432,55820,58385,61656,62110,59500,61764,79769,73044,69984,67456,66794,64791,66873,68191,68355,71093,72653,74604,76092,76618,78788,80466,82104,82527,83319,80695,81219,80567,78793,75830,76693,73863,69586,65644,64595,64358,61058
Y_44,58722,59053,58773,58243,55640,58146,61425,61896,59485,61764,79685,73012,69916,67604,66798,64709,66800,68128,68381,71064,72759,74511,76057,76612,79042,80544,82243,82708,83442,80737,81359,80416,78734,75738,76735,73882,69644,65630,64617,64282
Y_45,58455,58404,58766,58523,57923,55332,57882,60999,61784,59363,61584,79480,72956,69932,67518,66613,64643,66702,68012,68316,70936,72737,74430,76082,76669,78990,80760,82431,82756,83506,80824,81161,80368,78763,75732,76789,73896,69643,65725,64531
Y_46,57950,58137,58179,58625,58338,57679,55127,57571,60880,61693,59261,61526,79444,72933,69879,67381,66456,64578,66615,67913,68313,70886,72623,74331,76139,76580,79043,80786,82479,82743,83684,80555,81051,80294,78720,75703,76713,73805,69677,65662
Y_47,57355,57642,57777,57918,58447,58052,57440,54822,57503,60701,61560,59170,61465,79396,72770,69717,67202,66340,64553,66560,67903,68270,70851,72683,74383,76141,76632,79082,80841,82506,82822,83530,80477,80936,80228,78786,75686,76696,73842,69579
Y_48,57279,57019,57303,57500,57645,58078,57778,57115,54714,57316,60533,61414,59096,61433,79231,72547,69553,67171,66266,64443,66569,67799,68121,70875,72718,74319,76258,76661,79007,80779,82600,82628,83449,80366,80816,80211,78705,75548,76666,73692
Y_49,59525,56894,56710,57001,57273,57339,57772,57480,57014,54540,57098,60388,61371,59069,61334,78915,72293,69407,67120,66124,64487,66504,67607,68111,70955,72683,74354,76249,76523,78922,80839,82392,82472,83319,80322,80762,80070,78595,75548,76460
Y_50,59467,59093,56483,56403,56695,56917,57036,57419,57310,56880,54280,56944,60281,61286,58942,61126,78667,72080,69278,66981,65995,64413,66391,67612,68076,70796,72727,74349,76162,76368,78927,80554,82200,82322,83200,80186,80731,79961,78567,75377
Y_51,59515,59068,58659,56147,56111,56329,56593,56702,57215,57142,56627,54143,56827,60222,61115,58774,60945,78422,71793,69101,66838,65950,64289,66441,67593,67999,70849,72633,74262,76062,76317,78783,80377,82095,82142,83067,80065,80572,79919,78343
Y_52,58999,59047,58654,58250,55823,55696,55996,56263,56529,57043,56902,56428,54026,56679,60038,60863,58570,60766,78139,71611,68922,66673,65764,64226,66389,67418,67966,70695,72502,74125,75902,76036,78546,80196,81807,81988,82909,79878,80362,79712
Y_53,58128,58469,58506,58248,57828,55375,55261,55627,56064,56281,56741,56682,56236,53800,56427,59733,60583,58430,60559,77828,71437,68765,66472,65699,64201,66287,67344,67857,70536,72298,74011,75658,75940,78292,79957,81648,81817,82671,79788,80132
Y_54,58560,57597,57934,58029,57868,57308,54943,54853,55445,55787,55934,56510,56456,56016,53576,56111,59447,60390,58228,60342,77691,71213,68630,66406,65600,64083,66152,67192,67664,70251,72160,73676,75373,75730,78187,79802,81527,81605,82454,79549
Y_55,59963,57989,57004,57456,57541,57376,56797,54478,54605,55137,55472,55648,56266,56183,55759,53329,55793,59219,60176,58028,60177,77467,71005,68521,66259,65425,63984,65974,66974,67348,70059,71825,73387,75220,75506,77970,79580,81321,81429,82107
Y_56,58221,59296,57320,56379,56922,57001,56840,56350,54122,54234,54737,55110,55302,55904,55800,55367,52968,55421,58857,59782,57831,59888,77199,70916,68393,65980,65305,63806,65790,66727,67109,69693,71580,73094,74932,75289,77724,79351,81224,81133
Y_57,58814,57503,58518,56680,55709,56191,56386,56304,55970,53639,53774,54359,54814,54900,55472,55340,54949,52666,55087,58523,59574,57538,59650,77064,70761,68121,65748,65038,63597,65530,66477,66809,69373,71253,72849,74614,75091,77374,79062,80820
Y_58,57429,57994,56768,57795,56040,55000,55606,55792,55887,55489,53180,53377,53938,54429,54483,55020,54872,54650,52364,54680,58163,59280,57163,59382,76755,70424,67870,65350,64655,63310,65258,66094,66473,69002,70878,72473,74304,74742,77036,78716
Y_59,60553,56588,57088,56046,57083,55222,54344,54978,55364,55324,54917,52676,52909,53489,54023,53943,54630,54484,54287,51980,54393,57775,58973,56917,59114,76428,70115,67512,65039,64355,63021,64875,65609,66084,68655,70475,72187,73872,74372,76568
Y_60,61311,59640,55652,56228,55246,56246,54554,53644,54468,54732,54730,54377,52094,52385,53050,53484,53424,54205,54058,53885,51576,53965,57375,58609,56596,58782,76149,69721,67075,64646,64020,62651,64452,65228,65720,68252,70127,71830,73504,73864
Y_61,64003,60225,58655,54774,55307,54411,55495,53804,53136,53868,54072,54032,53740,51583,51786,52505,52911,52856,53681,53530,53469,51087,53507,57080,58165,56183,58451,75722,69157,66607,64169,63456,62182,64048,64782,65332,67858,69664,71388,73032
Y_62,45418,62807,59089,57638,53844,54295,53556,54673,53141,52343,53140,53274,53252,53025,50952,51119,51931,52401,52264,53105,53039,52894,50578,53131,56563,57647,55669,57979,75137,68677,66134,63592,62931,61705,63577,64365,64843,67359,69244,70790
Y_63,43456,44430,61567,57878,56577,52778,53270,52725,53877,52333,51460,52271,52400,52421,52248,50193,50430,51266,51745,51593,52488,52409,52252,50083,52614,55975,57048,55174,57388,74588,68143,65483,63028,62338,61183,62976,63803,64232,66867,68622
Y_64,46233,42461,43354,60346,56612,55431,51704,52259,51916,52945,51405,50541,51315,51473,51556,51412,49368,49773,50622,51123,50979,51823,51794,51701,49515,51961,55424,56375,54555,56796,73997,67441,64716,62491,61736,60627,62380,63221,63690,66261
Y_65,48487,45106,41351,42355,59040,55252,54240,50623,51287,50851,51915,50324,49552,50352,50478,50562,50442,48599,48987,49936,50436,50302,51112,51195,51053,48844,51392,54789,55724,53910,56210,73171,66698,64011,61768,61076,60019,61710,62599,63006
Y_66,51641,47197,43875,40272,41197,57576,53910,52984,49667,50096,49763,50763,49165,48367,49363,49396,49548,49531,47689,48184,49238,49598,49524,50384,50452,50246,48146,50680,54023,54992,53253,55455,72160,65877,63190,61082,60326,59315,60993,61854
Y_67,51075,50124,45825,42601,39097,39912,56139,52441,51744,48473,48806,48463,49487,47899,47129,48196,48305,48546,48532,46829,47416,48288,48738,48796,49561,49626,49485,47382,49925,53229,54249,52391,54608,71230,65005,62320,60324,59478,58595,60188
Y_68,49422,49390,48538,44462,41334,37870,38691,54510,51178,50302,47171,47466,47116,48084,46616,45831,47045,47264,47381,47456,45962,46508,47403,47824,47899,48662,48779,48688,46609,49129,52419,53321,51514,53826,70181,64019,61432,59481,58657,57711
Y_69,47527,47598,47677,46910,43025,39903,36691,37416,52899,49650,48726,45698,46091,45682,46757,45219,44569,45825,46120,46233,46412,44905,45442,46469,46875,46951,47792,47864,47726,45723,48282,51407,52402,50633,52811,69027,62965,60429,58600,57674
Y_70,45879,45628,45800,45916,45150,41390,38529,35449,36234,51042,48069,47036,44126,44584,44240,45263,43800,43225,44532,44859,45084,45276,43875,44402,45503,45833,46001,46780,46840,46767,44833,47287,50415,51451,49594,51771,67803,61782,59394,57542
Y_71,44713,43955,43712,43998,44047,43287,39808,37114,34259,34952,49233,46314,45354,42518,43096,42620,43796,42362,41807,43208,43650,43878,44123,42699,43260,44399,44769,44946,45818,45812,45742,43866,46195,49318,50402,48550,50692,66483,60782,58270
Y_72,42957,42615,41963,41767,42051,42055,41493,38194,35713,32887,33511,47272,44596,43566,40858,41535,41067,42286,40798,40360,41872,42319,42542,42828,41526,42032,43222,43627,43803,44700,44742,44578,42714,45082,48067,49278,47498,49554,65059,59477
Y_73,40632,40713,40488,39976,39715,40016,40143,39609,36633,34059,31478,32072,45244,42816,41757,39205,39886,39582,40642,39224,38904,40404,40857,41198,41562,40315,40840,42010,42453,42597,43605,43531,43353,41612,43865,46793,48083,46406,48394,63508
Y_74,37213,38424,38513,38431,37872,37600,38025,38173,37760,34877,32422,30036,30569,43176,40970,39905,37497,38264,37932,38923,37668,37334,38818,39365,39712,40195,39038,39534,40745,41216,41445,42281,42243,42172,40398,42627,45454,46740,45227,47033
Y_75,35356,34988,36170,36336,36291,35639,35586,35989,36248,35732,33176,30616,28382,29015,41132,39016,38022,35717,36565,36271,37362,36074,35753,37316,37821,38209,38763,37643,38204,39459,39876,40055,40870,40966,40800,39132,41333,44032,45388,43773
Y_76,32585,33011,32724,33935,34135,34009,33574,33505,34028,34023,33813,31392,28829,26816,27567,39026,37013,36068,33877,34850,34663,35667,34426,34154,35731,36231,36718,37234,36199,36823,38103,38525,38588,39522,39510,39436,37747,39818,42595,43790
Y_77,29923,30254,30693,30471,31720,31794,31842,31535,31404,31847,31975,31812,29459,27095,25193,26017,36935,35012,34180,32028,33201,32858,33860,32807,32487,34008,34583,35205,35696,34723,35407,36532,36985,37191,37998,37987,37972,36270,38406,40965
Y_78,26976,27607,27984,28498,28321,29334,29558,29713,29476,29168,29785,29892,29655,27555,25398,23570,24506,34746,32975,32121,30258,31354,31103,31982,31106,30778,32398,32814,33598,34157,33215,33870,34900,35469,35493,36463,36431,36307,34798,36647
Y_79,24272,24737,25451,25762,26341,25985,27128,27399,27689,27272,27071,27678,27802,27514,25724,23604,21930,22960,32567,30907,30132,28433,29437,29236,30153,29391,29143,30652,31082,31938,32543,31617,32200,33266,33768,33828,34779,34675,34764,33035
Y_80,21877,22020,22570,23254,23608,24106,23867,24938,25294,25405,25133,24989,25508,25634,25540,23788,21849,20436,21384,30343,28915,28097,26495,27590,27352,28315,27614,27511,28858,29244,30248,30892,29821,30565,31477,31999,32213,32934,33039,32822
Y_81,19381,19682,19909,20556,21144,21367,22051,21810,22810,23030,23265,23058,22846,23338,23643,23465,21868,20136,18807,19755,28189,26915,26005,24566,25675,25442,26341,25814,25702,27067,27468,28438,28973,28208,28857,29683,30161,30268,31191,31017
Y_82,15848,17295,17656,17954,18555,19010,19387,19997,19748,20474,20895,21228,20908,20780,21372,21584,21429,20037,18466,17184,18306,26037,24817,23957,22657,23748,23587,24440,24028,23986,25190,25624,26488,27181,26397,27085,27831,28137,28436,29101
Y_83,13647,13930,15411,15793,16069,16531,17137,17383,17926,17566,18401,18788,19147,18820,18844,19276,19542,19526,18169,16777,15594,16739,23765,22751,21908,20769,21746,21635,22505,22249,22178,23306,23753,24593,25116,24519,25138,25872,26237,26288
Y_84,11778,11934,12186,13640,14023,14141,14749,15208,15502,15851,15572,16404,16857,17025,16856,16862,17305,17679,17526,16376,15125,14158,15129,21552,20664,19906,18963,19816,19745,20590,20312,20367,21290,21896,22494,23132,22550,23047,23904,24068
Y_85,10157,10173,10391,10583,11979,12220,12455,12991,13458,13445,13998,13757,14541,15000,15148,14947,14984,15473,15745,15652,14596,13539,12629,13619,19477,18727,17896,17090,17918,17944,18642,18499,18374,19405,19821,20572,21129,20599,21126,21747
Y_86,8229,8634,8719,8952,9111,10325,10663,10835,11386,11684,11802,12200,11960,12719,13257,13326,13091,13259,13552,13976,13920,12960,11949,11205,12172,17539,16765,16000,15306,16044,16140,16737,16621,16641,17425,17850,18435,18979,18701,18980
Y_87,6795,6863,7320,7397,7659,7644,8923,9234,9398,9628,10112,10221,10494,10245,11104,11523,11615,11432,11472,11761,12341,12196,11307,10422,9850,10735,15533,14905,14122,13591,14326,14321,14789,14850,14672,15532,15840,16404,17001,16467
Y_88,5579,5547,5703,6137,6221,6343,6403,7512,7917,7887,8229,8661,8712,8884,8835,9517,9908,10028,9735,9758,10189,10690,10509,9763,8956,8523,9296,13572,13144,12402,11959,12460,12476,13098,12855,12875,13646,13787,14569,14836
Y_89,4339,4459,4482,4646,5055,5056,5247,5309,6301,6563,6668,6974,7277,7326,7583,7407,8067,8499,8537,8218,8363,8665,9056,9015,8296,7703,7370,7994,11730,11500,10808,10305,10778,10835,11239,11149,11041,11680,12032,12532
Y_OPEN,13571,13709,14193,14557,14998,15207,16027,16700,17387,18152,19459,20679,21718,22482,23571,24356,25007,26087,27095,28296,29385,29670,29857,30165,30610,30648,29849,29136,29072,32430,35169,36905,37690,39552,39795,41067,41725,41927,43658,43749
